country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2020,19.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2021,32.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2010,21.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2019,28.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2020,17.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2021,30.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2010,22.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2019,28.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2020,18.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Egg and/or flesh foods consumption (6-23months),2021,31.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Egg and/or flesh foods consumption (6-23months),2010,28.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Egg and/or flesh foods consumption (6-23months),2016,23.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Egg and/or flesh foods consumption (6-23months),2010,28.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Egg and/or flesh foods consumption (6-23months),2016,25.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Egg and/or flesh foods consumption (6-23months),2010,28.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Egg and/or flesh foods consumption (6-23months),2016,24.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2005,80.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2010,81.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2014,81.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2021,82.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2005,81.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2010,80.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2014,82.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2021,83.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2005,80.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2010,81.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2014,81.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Egg and/or flesh foods consumption (6-23months),2021,82.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2011,60.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2014,64.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2018,56.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2011,61.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2014,64.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2018,54.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2011,61.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2014,64.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Egg and/or flesh foods consumption (6-23months),2018,55.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Egg and/or flesh foods consumption (6-23months),2010,38.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Egg and/or flesh foods consumption (6-23months),2010,37.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Egg and/or flesh foods consumption (6-23months),2010,38.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2015,37.0,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2019-08,30.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2019-09,45.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2020,31.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2022,64.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2015,34.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2019-08,29.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2019-09,46.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2020,30.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2022,63.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2015,35.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2019-08,29.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2019-09,45.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2020,30.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
